id,timestamp,symbol,last_price,bid_price,ask_price,volume,trade_time,msg_type
418,2025-01-21 14:44:38,GS,,,,4287551,,quote
419,2025-01-21 14:44:38,NVDA,141.275,141.27,600,145196664,2025-01-21 20:44:37,quote
420,2025-01-21 14:44:38,SPY,602.58,602.57,602.59,28007539,2025-01-21 20:44:37,quote
421,2025-01-21 14:44:38,QQQ,524.75,524.75,524.76,18799792,2025-01-21 20:44:37,quote
422,2025-01-21 14:44:38,MSTR,387.69,387.54,388.31,21473900,2025-01-21 20:44:37,quote
423,2025-01-21 14:44:38,GOOG,,200.16,200.17,11153245,,quote
424,2025-01-21 14:44:38,META,617,300,617.08,7577385,2025-01-21 20:44:37,quote
425,2025-01-21 14:44:39,AMZN,230.79,230.78,230.82,27720366,2025-01-21 20:44:37,quote
426,2025-01-21 14:44:39,COIN,,,,10798824,,quote
427,2025-01-21 14:44:39,NFLX,,868.11,,5043894,,quote
428,2025-01-21 14:44:39,NFLX,,,,5043911,,quote
429,2025-01-21 14:44:39,MSTR,,387.56,,21473922,,quote
430,2025-01-21 14:44:39,NVDA,141.285,141.28,141.29,145200382,2025-01-21 20:44:39,quote
431,2025-01-21 14:44:39,SPY,602.59,602.58,602.6,28028044,2025-01-21 20:44:38,quote
432,2025-01-21 14:44:39,QQQ,524.76,,524.78,18801295,2025-01-21 20:44:38,quote
433,2025-01-21 14:44:39,META,,,617.07,7577393,,quote
434,2025-01-21 14:44:39,AAPL,221.4995,800,,70423694,2025-01-21 20:44:38,quote
435,2025-01-21 14:44:39,TSLA,421.86,421.85,422,76402260,,quote
436,2025-01-21 14:44:40,GS,634.2089,634.08,,4287736,2025-01-21 20:44:38,quote
437,2025-01-21 14:44:40,COIN,296.31,296.11,,10798942,2025-01-21 20:44:38,quote
438,2025-01-21 14:44:40,AMZN,,300,,27720471,,quote
439,2025-01-21 14:44:40,GOOG,,200,,11153370,,quote
440,2025-01-21 14:44:40,COIN,,296.1,,10798952,,quote
441,2025-01-21 14:44:40,GS,634.15,,200,4287959,2025-01-21 20:44:39,quote
442,2025-01-21 14:44:40,NVDA,141.2882,200,,145201590,,quote
443,2025-01-21 14:44:40,NFLX,,,,5043923,,quote
444,2025-01-21 14:44:40,MSTR,,,,21473985,,quote
445,2025-01-21 14:44:40,AAPL,221.5,,,70424385,2025-01-21 20:44:39,quote
446,2025-01-21 14:44:40,GOOG,,100,,11153426,,quote
447,2025-01-21 14:44:40,SPY,602.5846,602.57,602.59,28029563,2025-01-21 20:44:40,quote
448,2025-01-21 14:44:41,TSLA,421.9865,421.86,400,76403719,2025-01-21 20:44:39,quote
449,2025-01-21 14:44:41,QQQ,,524.74,524.77,18801516,,quote
450,2025-01-21 14:44:41,META,,,100,7577414,,quote
451,2025-01-21 14:44:41,AMZN,,200,230.81,27720523,,quote
452,2025-01-21 14:44:41,META,,,800,7577430,,quote
453,2025-01-21 14:44:41,SPY,602.57,602.55,602.58,28030372,,quote
454,2025-01-21 14:44:41,TSLA,421.93,,500,76405127,2025-01-21 20:44:41,quote
455,2025-01-21 14:44:41,NVDA,141.26,141.25,141.27,145208322,2025-01-21 20:44:40,quote
456,2025-01-21 14:44:41,AAPL,221.495,600,,70425190,2025-01-21 20:44:40,quote
457,2025-01-21 14:44:41,COIN,,400,,10799052,,quote
458,2025-01-21 14:44:41,GOOG,,,300,11153543,,quote
459,2025-01-21 14:44:41,AMZN,,230.77,230.8,27720697,,quote
460,2025-01-21 14:44:41,NFLX,868.265,,300,5044607,2025-01-21 20:44:40,quote
461,2025-01-21 14:44:41,QQQ,,524.73,524.76,18801619,2025-01-21 20:44:40,quote
462,2025-01-21 14:44:41,GS,634.04,633.85,700,4291298,2025-01-21 20:44:40,quote
463,2025-01-21 14:44:42,MSTR,388.2435,,,21475407,2025-01-21 20:44:40,quote
464,2025-01-21 14:44:42,COIN,,200,,10799071,,quote
465,2025-01-21 14:44:42,AAPL,221.4904,,400,70426174,2025-01-21 20:44:41,quote
466,2025-01-21 14:44:42,TSLA,421.9676,,421.98,76410834,,quote
467,2025-01-21 14:44:42,NFLX,,400,,5044746,,quote
468,2025-01-21 14:44:42,GOOG,200.165,,,11154067,2025-01-21 20:44:41,quote
469,2025-01-21 14:44:42,AMZN,,,,27720906,,quote
470,2025-01-21 14:44:42,NVDA,100,1400,141.26,145210429,2025-01-21 20:44:41,quote
471,2025-01-21 14:44:43,GS,633.99,633.75,,4292075,2025-01-21 20:44:41,quote
472,2025-01-21 14:44:43,MSTR,388.3099,387.57,,21475596,2025-01-21 20:44:41,quote
473,2025-01-21 14:44:43,META,616.935,400,,7577986,2025-01-21 20:44:41,quote
474,2025-01-21 14:44:43,AMZN,,,300,27721059,,quote
475,2025-01-21 14:44:43,QQQ,,524.74,524.76,18801646,,quote
476,2025-01-21 14:44:43,AAPL,221.495,,600,70426425,2025-01-21 20:44:42,quote
477,2025-01-21 14:44:43,SPY,602.56,1100,602.58,28031781,2025-01-21 20:44:42,quote
478,2025-01-21 14:44:43,TSLA,421.93,700,422,76412917,2025-01-21 20:44:43,quote
479,2025-01-21 14:44:43,MSTR,387.95,387.65,,21475891,2025-01-21 20:44:42,quote
480,2025-01-21 14:44:44,NVDA,141.258,1500,141.27,145214399,2025-01-21 20:44:42,quote
481,2025-01-21 14:44:44,COIN,,,,10799135,,quote
482,2025-01-21 14:44:44,META,,,,7578014,,quote
483,2025-01-21 14:44:44,NFLX,,,,5044758,,quote
484,2025-01-21 14:44:44,GOOG,,,200,11154127,,quote
485,2025-01-21 14:44:44,AAPL,,,,70426563,,quote
486,2025-01-21 14:44:44,QQQ,524.7599,524.75,100,18801748,2025-01-21 20:44:43,quote
487,2025-01-21 14:44:44,NFLX,,,,5044860,,quote
488,2025-01-21 14:44:44,MSTR,387.8668,387.67,,21476527,2025-01-21 20:44:43,quote
489,2025-01-21 14:44:44,META,,,,7578109,,quote
490,2025-01-21 14:44:44,SPY,602.58,900,1400,28032722,2025-01-21 20:44:43,quote
491,2025-01-21 14:44:44,GOOG,,,,11154142,,quote
492,2025-01-21 14:44:44,AMZN,230.77,230.75,230.78,27722188,2025-01-21 20:44:43,quote
493,2025-01-21 14:44:45,TSLA,421.9354,,900,76413449,,quote
494,2025-01-21 14:44:45,NVDA,141.25,,500,145214879,2025-01-21 20:44:43,quote
495,2025-01-21 14:44:45,COIN,,,,10799213,,quote
496,2025-01-21 14:44:45,GS,,,,4292080,,quote
497,2025-01-21 14:44:45,NFLX,,,200,5044882,,quote
498,2025-01-21 14:44:45,GOOG,200.16,500,,11155261,2025-01-21 20:44:44,quote
499,2025-01-21 14:44:45,QQQ,524.74,524.74,700,18804016,2025-01-21 20:44:44,quote
500,2025-01-21 14:44:45,TSLA,421.8658,,422.05,76424040,2025-01-21 20:44:44,quote
501,2025-01-21 14:44:45,GS,,,,4292085,,quote
502,2025-01-21 14:44:45,SPY,,602.56,602.59,28040545,2025-01-21 20:44:44,quote
503,2025-01-21 14:44:45,META,,,,7578160,,quote
504,2025-01-21 14:44:45,AMZN,230.75,,230.79,27722884,2025-01-21 20:44:45,quote
505,2025-01-21 14:44:45,AAPL,221.5,221.5,221.51,70433040,2025-01-21 20:44:44,quote
506,2025-01-21 14:44:45,NVDA,216,141.24,141.26,145220484,2025-01-21 20:44:44,quote
507,2025-01-21 14:44:46,COIN,,300,,10799231,,quote
