timestamp,symbol,event,latency_ms,request_id,stage,exchange_time,broker_latency_ms,total_latency_ms
2025-01-21T20:02:36.695898Z,QQQ,wire,0.214272,REQ000055,wire
2025-01-21T20:02:36.697978Z,QQQ,parse,2.294272,REQ000055,parse
2025-01-21T20:02:36.699910Z,QQQ,write,4.226048,REQ000055,write
2025-01-21T20:02:36.701842Z,QQQ,total,6.158336,REQ000055,total
2025-01-21T20:02:36.703744Z,QQQ,broker,8.06016,REQ000055,broker
2025-01-21T20:02:36.707510Z,AAPL,wire,0.435968,REQ000056,wire
2025-01-21T20:02:36.709302Z,AAPL,parse,2.227968,REQ000056,parse
2025-01-21T20:02:36.711076Z,AAPL,write,4.002048,REQ000056,write
2025-01-21T20:02:36.712927Z,AAPL,total,5.852928,REQ000056,total
2025-01-21T20:02:36.714614Z,AAPL,broker,7.539968,REQ000056,broker
2025-01-21T20:02:38.656479Z,SPY,wire,0.590848,REQ000057,wire
2025-01-21T20:02:38.661126Z,SPY,parse,5.23776,REQ000057,parse
2025-01-21T20:02:38.664666Z,SPY,write,8.777728,REQ000057,write
2025-01-21T20:02:38.667286Z,SPY,total,11.397888,REQ000057,total
2025-01-21T20:02:38.669385Z,SPY,broker,13.496832,REQ000057,broker
2025-01-21T20:02:38.673182Z,QQQ,wire,0.260096,REQ000058,wire
2025-01-21T20:02:38.675269Z,QQQ,parse,2.347008,REQ000058,parse
2025-01-21T20:02:38.679413Z,QQQ,write,6.491136,REQ000058,write
2025-01-21T20:02:38.681415Z,QQQ,total,8.493312,REQ000058,total
2025-01-21T20:02:38.683467Z,QQQ,broker,10.545152,REQ000058,broker
2025-01-21T20:02:38.687473Z,SPY,wire,0.263168,REQ000059,wire
2025-01-21T20:02:38.689776Z,SPY,parse,2.565888,REQ000059,parse
2025-01-21T20:02:38.692039Z,SPY,write,4.828928,REQ000059,write
2025-01-21T20:02:38.694627Z,SPY,total,7.417088,REQ000059,total
2025-01-21T20:02:38.696921Z,SPY,broker,9.711104,REQ000059,broker
2025-01-21T20:02:38.700568Z,AAPL,wire,0.208896,REQ000060,wire
2025-01-21T20:02:38.702534Z,AAPL,parse,2.17472,REQ000060,parse
2025-01-21T20:02:38.704562Z,AAPL,write,4.202752,REQ000060,write
2025-01-21T20:02:38.706535Z,AAPL,total,6.176,REQ000060,total
2025-01-21T20:02:38.708377Z,AAPL,broker,8.017664,REQ000060,broker
2025-01-21T20:02:38.711823Z,SPY,wire,0.199168,REQ000061,wire
2025-01-21T20:02:38.713613Z,SPY,parse,1.98912,REQ000061,parse
2025-01-21T20:02:38.715374Z,SPY,write,3.750144,REQ000061,write
2025-01-21T20:02:38.717470Z,SPY,total,5.846016,REQ000061,total
2025-01-21T20:02:38.719007Z,SPY,broker,7.38304,REQ000061,broker
2025-01-21T20:02:39.656824Z,QQQ,wire,0.779008,REQ000062,wire
2025-01-21T20:02:39.661545Z,QQQ,parse,5.499904,REQ000062,parse
2025-01-21T20:02:39.665451Z,QQQ,write,9.405952,REQ000062,write
2025-01-21T20:02:39.668682Z,QQQ,total,12.636928,REQ000062,total
2025-01-21T20:02:39.675614Z,QQQ,broker,19.569152,REQ000062,broker
2025-01-21T20:02:39.681004Z,AAPL,wire,0.30208,REQ000063,wire
