symbol,received_time,trade_time,server_time,last,bid,ask,bid_size,ask_size,volume,type
AAPL,2025-01-11T00:48:19.059265Z,,,,,,,,61702522,quote
QQQ,2025-01-11T00:48:19.060358Z,,,,,,,,40520025,quote
,2025-01-11T00:48:19.061571Z,,2025-01-11T00:48:06Z,,,,,,,heartbeat
,2025-01-11T00:48:19.062738Z,,2025-01-11T00:48:11Z,,,,,,,heartbeat
SPY,2025-01-11T00:48:19.063593Z,,,,,,,,73100163,quote
QQQ,2025-01-11T00:48:19.064467Z,,,,300,,300,,,quote
SPY,2025-01-11T00:48:19.065410Z,,,,,,,,73100164,quote
QQQ,2025-01-11T00:48:19.066431Z,,,,,,,,40520026,quote
QQQ,2025-01-11T00:48:19.068020Z,,,,,,,,40520027,quote
AAPL,2025-01-11T00:48:19.069754Z,,,,,,,,61702523,quote
SPY,2025-01-11T00:48:37.994520Z,,,,579.72,,300,,,quote
AAPL,2025-01-11T00:48:37.998102Z,,,,,,,,61702540,quote
QQQ,2025-01-11T00:48:37.999484Z,,,,,,,,40520028,quote
SPY,2025-01-11T00:48:38.000331Z,,,,,,,,73100234,quote
AAPL,2025-01-11T00:48:38.001139Z,,,,,,,,61702541,quote
QQQ,2025-01-11T00:48:38.002335Z,,,,506.6,,900,,40520050,quote
AAPL,2025-01-11T00:48:38.003464Z,,,,,,,,61702542,quote
SPY,2025-01-11T00:48:38.004415Z,,,,,579.83,,,,quote
AAPL,2025-01-11T00:48:38.005205Z,,,,,,,,61702543,quote
AAPL,2025-01-11T00:48:38.006034Z,,,,,,,,61702544,quote
QQQ,2025-01-11T00:48:38.006973Z,,,,,400,,400,40520150,quote
AAPL,2025-01-11T00:48:38.007934Z,,,,,,,,61702545,quote
QQQ,2025-01-11T00:48:46.985208Z,,,,,,,,40520151,quote
SPY,2025-01-11T00:48:46.988770Z,,,,,,,,73100235,quote
QQQ,2025-01-11T00:48:46.990779Z,,,,,,,,40520231,quote
SPY,2025-01-11T00:48:46.992860Z,,,,,,,,73100236,quote
AAPL,2025-01-11T00:48:46.994714Z,,,,,,,,61702549,quote
SPY,2025-01-11T00:48:46.996421Z,,,,,,,,73100237,quote
QQQ,2025-01-11T00:48:46.997804Z,,,,,,,,40520248,quote
QQQ,2025-01-11T00:48:46.999116Z,2025-01-11T00:48:45Z,,506.6,100,,100,,40521048,quote
QQQ,2025-01-11T00:49:11.990642Z,,,186,506.59,506.6,200,700,40521234,quote
SPY,2025-01-11T00:49:11.994284Z,,,,,,,,73100242,quote
QQQ,2025-01-11T00:49:11.995846Z,2025-01-11T00:48:48Z,,506.59,506.58,506.59,,600,40521480,quote
SPY,2025-01-11T00:49:11.997418Z,,,,,,,,73100272,quote
SPY,2025-01-11T00:49:11.998644Z,,,,,,,,73100273,quote
AAPL,2025-01-11T00:49:11.999919Z,,,,,,,,61702598,quote
SPY,2025-01-11T00:49:12.015875Z,,,,,,,,73100274,quote
SPY,2025-01-11T00:49:12.017238Z,,,,,,,,73100275,quote
SPY,2025-01-11T00:49:12.018799Z,,,,,579.82,,200,,quote
,2025-01-11T00:49:24.074445Z,,2025-01-11T00:49:12Z,,,,,,,heartbeat
AAPL,2025-01-11T00:49:24.077777Z,,,,,,,,61702601,quote
SPY,2025-01-11T00:49:24.079106Z,,,,,,,,73100280,quote
QQQ,2025-01-11T00:49:24.080186Z,,,,,,,,40521500,quote
SPY,2025-01-11T00:49:24.081542Z,,,,,,,,73100300,quote
QQQ,2025-01-11T00:49:24.082797Z,2025-01-11T00:49:19Z,,,,,,,40521700,quote
SPY,2025-01-11T00:49:24.084317Z,,,,,,,,73100303,quote
AAPL,2025-01-11T00:49:24.085836Z,,,,,,,,61702603,quote
QQQ,2025-01-11T00:49:44.145172Z,2025-01-11T00:49:22Z,,506.58,506.51,506.58,100,200,40521995,quote
AAPL,2025-01-11T00:49:44.149094Z,,,,,,,,61702604,quote
AAPL,2025-01-11T00:49:44.150551Z,,,,236.99,,100,,,quote
SPY,2025-01-11T00:49:44.151836Z,,,,,,,,73100304,quote
SPY,2025-01-11T00:49:44.152760Z,,,,,,,,73100308,quote
AAPL,2025-01-11T00:49:44.153607Z,,,,,,,,61702605,quote
SPY,2025-01-11T00:49:44.154520Z,,,,,579.81,,,,quote
QQQ,2025-01-11T00:49:44.155322Z,,,,,,,,40521996,quote
QQQ,2025-01-11T00:49:44.156422Z,,,,,,,,40521997,quote
AAPL,2025-01-11T00:49:44.158053Z,,,,,,,,61702610,quote
AAPL,2025-01-11T00:49:44.159491Z,,,,,,,,61702663,quote
SPY,2025-01-11T00:50:06.980510Z,,,,,,,,73100315,quote
QQQ,2025-01-11T00:50:06.984114Z,,,,,,,,40521998,quote
,2025-01-11T00:50:06.986404Z,,2025-01-11T00:49:51Z,,,,,,,heartbeat
QQQ,2025-01-11T00:50:06.988546Z,,,,,,,,40521999,quote
AAPL,2025-01-11T00:50:06.990350Z,,,,,,,,61702664,quote
AAPL,2025-01-11T00:50:06.991665Z,,,,,,,,61702665,quote
AAPL,2025-01-11T00:50:06.993627Z,,,,,237.01,,,61702861,quote
QQQ,2025-01-11T00:50:06.995342Z,,,,,,,,40522014,quote
SPY,2025-01-11T00:50:06.996437Z,,,,,,,,73100316,quote
QQQ,2025-01-11T00:50:06.997756Z,,,,,,,,40522015,quote
QQQ,2025-01-11T00:50:06.998758Z,,,,506.52,,,,,quote
AAPL,2025-01-11T00:50:07.000185Z,,,,,,,,61702862,quote
SPY,2025-01-11T00:50:21.981075Z,,,,,,,,73100317,quote
AAPL,2025-01-11T00:50:21.984479Z,,,,,,,,61702863,quote
QQQ,2025-01-11T00:50:21.986900Z,,,,,,,,40522020,quote
AAPL,2025-01-11T00:50:21.988860Z,,,,,,,,61702864,quote
QQQ,2025-01-11T00:50:21.991013Z,,,,,,,,40522027,quote
QQQ,2025-01-11T00:50:21.992609Z,,,,,,,,40522028,quote
AAPL,2025-01-11T00:50:21.994390Z,,,,,237.02,,,61702958,quote
AAPL,2025-01-11T00:50:21.995995Z,,,,,,,,61702959,quote
SPY,2025-01-11T00:50:21.997496Z,,,,,,,,73100318,quote
AAPL,2025-01-11T00:50:21.998596Z,,,,,,,,61702960,quote
AAPL,2025-01-11T00:50:21.999782Z,,,,,,,,61702961,quote
QQQ,2025-01-11T00:50:38.984803Z,2025-01-11T00:50:21Z,,506.51,506.46,,200,,40522486,quote
QQQ,2025-01-11T00:50:38.988362Z,,,,506.45,,900,,,quote
QQQ,2025-01-11T00:50:38.989438Z,,,,,,,,40522487,quote
AAPL,2025-01-11T00:50:38.990311Z,,,,236.98,,,,61702963,quote
QQQ,2025-01-11T00:50:38.991486Z,,,,,,,,40522490,quote
QQQ,2025-01-11T00:50:38.992701Z,,,,,,,,40522491,quote
,2025-01-11T00:50:38.994030Z,,2025-01-11T00:50:32Z,,,,,,,heartbeat
QQQ,2025-01-11T00:50:38.995263Z,,,,,,,,40522501,quote
QQQ,2025-01-11T00:50:38.996263Z,,,,,,,,40522502,quote
AAPL,2025-01-11T00:50:38.997526Z,,,,,,,,61702967,quote
AAPL,2025-01-11T00:50:38.998652Z,,,,,,,,61702969,quote
SPY,2025-01-11T00:51:03.985303Z,,,,,,,,73100378,quote
AAPL,2025-01-11T00:51:03.989051Z,,,,236.99,,,,,quote
SPY,2025-01-11T00:51:03.990921Z,,,,,,,,73100435,quote
QQQ,2025-01-11T00:51:03.992638Z,,,,,,,,40522513,quote
AAPL,2025-01-11T00:51:03.994626Z,,,,,,,,61702970,quote
QQQ,2025-01-11T00:51:03.996227Z,,,,,,,,40522514,quote
SPY,2025-01-11T00:51:03.997617Z,,,,,,,,73100514,quote
AAPL,2025-01-11T00:51:03.998818Z,,,,,,,,61702971,quote
AAPL,2025-01-11T00:51:04.000042Z,,,,,,,,61702990,quote
AAPL,2025-01-11T00:51:04.001715Z,,,,,,,,61702991,quote
,2025-01-11T00:51:04.002853Z,,2025-01-11T00:50:59Z,,,,,,,heartbeat
AAPL,2025-01-11T00:51:04.004088Z,,,,,,,,61702992,quote
