symbol,received_time,trade_time,server_time,last,bid,ask,bid_size,ask_size,volume,type
AAPL,2025-01-10T13:41:40.110475Z,2025-01-10T13:41:35Z,,241.4978,,,,,240237,quote
AAPL,2025-01-10T13:41:40.121234Z,,,,,,,,240242,quote
AAPL,2025-01-10T13:41:40.124861Z,2025-01-10T13:41:37Z,,241.41,241.36,,100,,240537,quote
AAPL,2025-01-10T13:41:40.126517Z,,,,,,,,240548,quote
AAPL,2025-01-10T13:41:55.065662Z,2025-01-10T13:41:39Z,,241.44,,241.49,,100,240656,quote
AAPL,2025-01-10T13:41:55.068805Z,,,,,,,,240657,quote
AAPL,2025-01-10T13:41:55.078818Z,,,,,241.5,,400,240658,quote
AAPL,2025-01-10T13:41:55.079937Z,,,,,,,,240659,quote
AAPL,2025-01-10T13:41:55.081075Z,,,,241.4,,,,240661,quote
AAPL,2025-01-10T13:41:55.081930Z,,,,,,,,240761,quote
AAPL,2025-01-10T13:41:55.083017Z,,,,,,,,240762,quote
AAPL,2025-01-10T13:41:55.084179Z,,,,,,,,240814,quote
AAPL,2025-01-10T13:41:55.085645Z,,,,,,,,240842,quote
AAPL,2025-01-10T13:42:10.122075Z,,,,,241.49,,100,240843,quote
AAPL,2025-01-10T13:42:10.126320Z,,,,,241.5,,400,240844,quote
AAPL,2025-01-10T13:42:10.128914Z,,,,,,,,240845,quote
AAPL,2025-01-10T13:42:10.132015Z,,,,,,,,240857,quote
AAPL,2025-01-10T13:42:10.134431Z,,,,,,,,240877,quote
AAPL,2025-01-10T13:42:10.137086Z,,,,,500,,500,,quote
AAPL,2025-01-10T13:42:10.139719Z,,,,,,,,241095,quote
AAPL,2025-01-10T13:42:10.141057Z,2025-01-10T13:42:04Z,,241.4874,,,,,241195,quote
AAPL,2025-01-10T13:42:10.144126Z,,,,,,,,241255,quote
AAPL,2025-01-10T13:42:10.146474Z,,,,241.38,,,,241265,quote
AAPL,2025-01-10T13:42:24.046753Z,,,,,,,,241275,quote
AAPL,2025-01-10T13:42:24.049872Z,,,,,,,,241295,quote
AAPL,2025-01-10T13:42:24.052144Z,,,,241.4,,,,241306,quote
AAPL,2025-01-10T13:42:24.055792Z,,,,,,,,241316,quote
AAPL,2025-01-10T13:42:24.057301Z,,,,241.38,,,,,quote
AAPL,2025-01-10T13:42:24.058531Z,,,,,,,,241317,quote
AAPL,2025-01-10T13:42:24.060597Z,,,,,,,,241318,quote
AAPL,2025-01-10T13:42:24.063034Z,,,,,,,,241320,quote
AAPL,2025-01-10T13:42:24.065255Z,,,,,,,,241321,quote
AAPL,2025-01-10T13:42:24.066618Z,,,,,600,,600,241323,quote
AAPL,2025-01-10T13:42:24.067791Z,,,,241.36,241.48,,100,241550,quote
AAPL,2025-01-10T13:42:24.069165Z,,,,,200,,200,241551,quote
AAPL,2025-01-10T13:42:33.992040Z,2025-01-10T13:42:23Z,,241.25,241.21,241.47,200,100,242209,quote
AAPL,2025-01-10T13:42:33.998229Z,,,,241.17,200,,200,,quote
AAPL,2025-01-10T13:42:33.999718Z,,,,241.16,,,,242210,quote
AAPL,2025-01-10T13:42:34.002630Z,,,,,241.36,,100,242226,quote
AAPL,2025-01-10T13:42:34.006079Z,,,,,,,,242277,quote
AAPL,2025-01-10T13:42:34.007553Z,,,,241.15,,,,242278,quote
AAPL,2025-01-10T13:42:34.008692Z,,,,241.16,,,,,quote
AAPL,2025-01-10T13:42:45.077428Z,2025-01-10T13:42:33Z,,241.21,241.12,,,,242413,quote
AAPL,2025-01-10T13:42:45.079487Z,,,,241.13,,,,,quote
AAPL,2025-01-10T13:42:45.081028Z,,,,241.15,,,,,quote
AAPL,2025-01-10T13:42:45.082022Z,,,,241.14,,,,,quote
AAPL,2025-01-10T13:42:45.082741Z,,,,,,,,242418,quote
AAPL,2025-01-10T13:42:45.083477Z,,,,241.15,,,,,quote
AAPL,2025-01-10T13:42:45.084668Z,,,,241.17,,100,,242468,quote
AAPL,2025-01-10T13:42:45.086080Z,,,,241.14,,200,,,quote
AAPL,2025-01-10T13:42:45.087646Z,,,,241.19,,,,242469,quote
AAPL,2025-01-10T13:42:54.992412Z,2025-01-10T13:42:44Z,,241.1711,241.12,,100,,243770,quote
AAPL,2025-01-10T13:42:55.002157Z,,,,241.14,,200,,243778,quote
AAPL,2025-01-10T13:42:55.003666Z,,,,241.16,,100,,,quote
AAPL,2025-01-10T13:42:55.005120Z,,,,300,,300,,,quote
AAPL,2025-01-10T13:42:55.007333Z,,,,100,,100,,,quote
AAPL,2025-01-10T13:42:55.010177Z,,,,241.21,,,,243788,quote
AAPL,2025-01-10T13:42:55.012406Z,,,,300,,300,,,quote
AAPL,2025-01-10T13:42:55.014994Z,,,,100,,100,,,quote
AAPL,2025-01-10T13:43:06.067013Z,,,,,,,,243789,quote
AAPL,2025-01-10T13:43:06.071231Z,,,,241.22,,300,,243790,quote
AAPL,2025-01-10T13:43:06.074094Z,2025-01-10T13:42:56Z,,241.3599,241.21,,100,,243991,quote
AAPL,2025-01-10T13:43:06.076212Z,,,,200,,200,,244001,quote
AAPL,2025-01-10T13:43:06.085368Z,,,,241.22,,100,,,quote
AAPL,2025-01-10T13:43:06.086918Z,,,,241.18,,200,,,quote
AAPL,2025-01-10T13:43:06.088356Z,,,,241.21,,,,,quote
AAPL,2025-01-10T13:43:06.089518Z,,,,241.19,,,,,quote
AAPL,2025-01-10T13:43:16.004276Z,2025-01-10T13:43:05Z,,241.36,241.17,,100,,245002,quote
AAPL,2025-01-10T13:43:16.008934Z,,,,300,,300,,,quote
AAPL,2025-01-10T13:43:16.011766Z,,,,200,,200,,245003,quote
